bottom_left_y,bottom_left_x,bottom_right_y,bottom_right_x,top_left_y,top_left_x,top_right_y,top_right_x,starbucks,seven11,gs25,olive0,mcdonalds,cu,total,total_x,total_y
37.5477793,126.7925418,37.5477793,126.7970384,37.5552507,126.7925418,37.5552507,126.7970384,0,0,0,0,0,0,,126.7925418,37.5477793
37.5552507,126.7925418,37.5552507,126.7970384,37.5627221,126.7925418,37.5627221,126.7970384,0,0,0,0,0,0,,126.7925418,37.5552507
37.5627221,126.7925418,37.5627221,126.7970384,37.5701935,126.7925418,37.5701935,126.7970384,0,0,0,0,0,0,,126.7925418,37.5627221
37.5701935,126.7925418,37.5701935,126.7970384,37.5776649,126.7925418,37.5776649,126.7970384,0,0,0,0,0,0,,126.7925418,37.5701935
37.5776649,126.7925418,37.5776649,126.7970384,37.5851363,126.7925418,37.5851363,126.7970384,0,0,0,0,0,0,,126.7925418,37.5776649
37.5403079,126.7970384,37.5403079,126.80153500000002,37.5477793,126.7970384,37.5477793,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5403079
37.5477793,126.7970384,37.5477793,126.80153500000002,37.5552507,126.7970384,37.5552507,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5477793
37.5552507,126.7970384,37.5552507,126.80153500000002,37.5627221,126.7970384,37.5627221,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5552507
37.5627221,126.7970384,37.5627221,126.80153500000002,37.5701935,126.7970384,37.5701935,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5627221
37.5701935,126.7970384,37.5701935,126.80153500000002,37.5776649,126.7970384,37.5776649,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5701935
37.5776649,126.7970384,37.5776649,126.80153500000002,37.5851363,126.7970384,37.5851363,126.80153500000002,0,1,0,0,0,0,0.1,126.7970384,37.5776649
37.5851363,126.7970384,37.5851363,126.80153500000002,37.5926077,126.7970384,37.5926077,126.80153500000002,0,0,0,0,0,0,,126.7970384,37.5851363
37.5477793,126.80153500000002,37.5477793,126.80603159999998,37.5552507,126.80153500000002,37.5552507,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5477793
37.5552507,126.80153500000002,37.5552507,126.80603159999998,37.5627221,126.80153500000002,37.5627221,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5552507
37.5627221,126.80153500000002,37.5627221,126.80603159999998,37.5701935,126.80153500000002,37.5701935,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5627221
37.5701935,126.80153500000002,37.5701935,126.80603159999998,37.5776649,126.80153500000002,37.5776649,126.80603159999998,0,0,0,1,0,0,0.1,126.80153500000002,37.5701935
37.5776649,126.80153500000002,37.5776649,126.80603159999998,37.5851363,126.80153500000002,37.5851363,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5776649
37.5851363,126.80153500000002,37.5851363,126.80603159999998,37.5926077,126.80153500000002,37.5926077,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5851363
37.5926077,126.80153500000002,37.5926077,126.80603159999998,37.6000791,126.80153500000002,37.6000791,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.5926077
37.6000791,126.80153500000002,37.6000791,126.80603159999998,37.6075505,126.80153500000002,37.6075505,126.80603159999998,0,0,0,0,0,0,,126.80153500000002,37.6000791
37.5477793,126.80603159999998,37.5477793,126.8105282,37.5552507,126.80603159999998,37.5552507,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.5477793
37.5552507,126.80603159999998,37.5552507,126.8105282,37.5627221,126.80603159999998,37.5627221,126.8105282,0,0,0,1,1,1,0.3,126.80603159999998,37.5552507
37.5627221,126.80603159999998,37.5627221,126.8105282,37.5701935,126.80603159999998,37.5701935,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.5627221
37.5701935,126.80603159999998,37.5701935,126.8105282,37.5776649,126.80603159999998,37.5776649,126.8105282,0,0,1,0,0,0,0.1,126.80603159999998,37.5701935
37.5776649,126.80603159999998,37.5776649,126.8105282,37.5851363,126.80603159999998,37.5851363,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.5776649
37.5851363,126.80603159999998,37.5851363,126.8105282,37.5926077,126.80603159999998,37.5926077,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.5851363
37.5926077,126.80603159999998,37.5926077,126.8105282,37.6000791,126.80603159999998,37.6000791,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.5926077
37.6000791,126.80603159999998,37.6000791,126.8105282,37.6075505,126.80603159999998,37.6075505,126.8105282,0,0,0,0,0,0,,126.80603159999998,37.6000791
37.5477793,126.8105282,37.5477793,126.81502479999999,37.5552507,126.8105282,37.5552507,126.81502479999999,0,0,0,0,0,0,,126.8105282,37.5477793
37.5552507,126.8105282,37.5552507,126.81502479999999,37.5627221,126.8105282,37.5627221,126.81502479999999,0,0,0,0,0,1,0.1,126.8105282,37.5552507
37.5627221,126.8105282,37.5627221,126.81502479999999,37.5701935,126.8105282,37.5701935,126.81502479999999,0,0,0,0,0,0,,126.8105282,37.5627221
37.5701935,126.8105282,37.5701935,126.81502479999999,37.5776649,126.8105282,37.5776649,126.81502479999999,0,0,0,1,0,0,0.1,126.8105282,37.5701935
37.5776649,126.8105282,37.5776649,126.81502479999999,37.5851363,126.8105282,37.5851363,126.81502479999999,0,0,0,0,0,0,,126.8105282,37.5776649
37.5851363,126.8105282,37.5851363,126.81502479999999,37.5926077,126.8105282,37.5926077,126.81502479999999,0,0,0,0,0,0,,126.8105282,37.5851363
37.5926077,126.8105282,37.5926077,126.81502479999999,37.6000791,126.8105282,37.6000791,126.81502479999999,0,0,0,0,0,0,,126.8105282,37.5926077
