지점명,지점주소,y,x
CU 공덕역점,서울 마포구 백범로 178,37.5438817651664,126.950076196083
CU 대치삼성점,서울 강남구 도곡로 516 삼성상가,37.4991812807975,127.062987853204
CU 강남시티점,서울 강남구 선릉로93길 50,37.5043368147633,127.044639619691
CU 상계주공점,서울 노원구 동일로 1345,37.6487051824451,127.061869040263
CU 역삼미래점,서울 강남구 테헤란로33길 32 SO근생주택빌딩,37.5038684504455,127.038835847903
CU 명륜성대점,서울 종로구 창경궁로 236,37.5826436294265,126.998834230134
CU 상봉사랑점,서울 중랑구 면목로92라길 15-2,37.5957043780937,127.086462192937
CU 화곡청산점,서울 강서구 화곡로 158,37.5410784040909,126.839204790182
CU 신림역점,서울 관악구 신림로 323,37.4832285155747,126.929548484921
CU 논현SK점,서울 강남구 학동로 342 SK허브블루,37.5167560126387,127.040841265738
CU 신사성환점,서울 강남구 강남대로152길 14,37.5171506735807,127.020699344217
CU 역삼점,서울 강남구 테헤란로51길 10,37.504775509851,127.046974538444
CU 구로미래지오점,서울 구로구 디지털로32나길 17-45 1층,37.4851745815704,126.899502996554
CU 수유시장점,서울 강북구 도봉로 237 1층,37.6298089953234,127.024487453462
CU 종로공평점,서울 종로구 삼봉로 100,37.5719161219722,126.982710095582
CU 은평한옥마을점,서울 은평구 진관길 9 1층,37.6422930757312,126.939373341507
CU 논현두산위브점,서울 강남구 언주로122길 28 ME만남의집,37.5119303471109,127.03808107256
CU 강남논현타운점,서울 강남구 강남대로114길 25,37.5062787579201,127.026318723992
CU 신논현타워점,서울 서초구 강남대로 479,37.5050804346935,127.023700440543
CU 청계산입구역점,서울 서초구 청계산로 217,37.4462712610316,127.057324111915
CU 여의도점,"서울 영등포구 여의대방로 394 우정빌딩 105,106호",37.5193909949479,126.932765535417
CU 독산마차길점,서울 금천구 두산로 50 1층,37.4701873308321,126.893486367319
CU 송파세륜점,서울 송파구 위례성대로22길 24,37.5083700959711,127.130279734898
CU 남대문로5가점,서울 중구 세종대로 8-1,37.5575588188996,126.97340000199
CU 삼성1호점,서울 강남구 테헤란로69길 9,37.5065083423896,127.052289487697
CU 서교제일점,서울 마포구 월드컵북로1길 42,37.554279126987,126.919188473416
CU 학동역점,서울 강남구 학동로 224 아르누보상가 B109A호,37.5144831085922,127.033499319221
CU 헬리오시티4블록점,서울 송파구 송파대로 345,37.4976145695004,127.102531804188
CU 잠원한아름점,서울 서초구 강남대로95길 47-9,37.5128009619491,127.018113038265
CU 홍대센타점,서울 마포구 와우산로 83,37.5519315035532,126.923264604111
CU 오벨리스크점,서울 서초구 서초대로74길 27 강남역 한화오벨리스크상가 102,37.4952880733557,127.027260688773
CU 강동센트럴점,서울 강동구 구천면로 328,37.548454354945,127.136051396534
CU 합정태양점,서울 마포구 양화로6길 67,37.5487063562061,126.918000732191
CU 방학역점,서울 도봉구 도봉로 728,37.6692947392108,127.043857993293
CU 서초효령점,서울 서초구 반포대로14길 42 오영빌딩 1층,37.4858456414219,127.013448002236
CU 논현아성점,서울 강남구 봉은사로 219,37.5082248905181,127.036023673983
CU 가오리사거리점,서울 강북구 삼각산로22길 2,37.6405497436297,127.016677649831
CU 홍대3호점,서울 마포구 와우산로29길 16,37.555016876369,126.929020006223
CU 신촌역점,서울 서대문구 신촌로 107 1층,37.555654725645,126.937870146746
CU 성수프리미어점,서울 성동구 서울숲길 51,37.5482189664436,127.043134461666
CU 이태원해밀턴점,서울 용산구 보광로 126,37.5340238828274,126.994223926816
CU 강북수유점,서울 강북구 노해로 23 1층,37.6377305613119,127.022631738465
CU 홍대서교점,서울 마포구 와우산로29길 70,37.5563657191815,126.926596108697
CU 서초쌍용점,서울 서초구 서초중앙로 18 서초쌍용플래티넘 109,37.4840476212544,127.017348668302
CU 화곡이슬점,서울 강서구 곰달래로24길 19 1층,37.5297844716161,126.847220516608
CU 역삼하나점,서울 강남구 테헤란로25길 59 1층,37.5043086853779,127.034157968271
CU 마곡보타닉푸르지오1점,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 1동 147호,37.567290908492,126.826956189701
CU 서초역점,서울 서초구 서초대로42길 7,37.4916113619077,127.008746729989
CU 남부터미널역점,서울 서초구 효령로 279 1층 102호,37.4849415024327,127.014765522044
CU 삼성로점,서울 강남구 삼성로103길 7,37.5102229680973,127.053973498221
CU 잠실파크점,서울 송파구 올림픽로37길 130 잠실파크리오상가 A동 1층 151호,37.5208819816451,127.104421421949
CU 종로신영점,서울 종로구 세검정로6길 104,37.6016317174871,126.961802588275
CU 연희삼거리점,서울 서대문구 연희로 126,37.5687623772299,126.932692770754
CU 서대문구청점,서울 서대문구 연희로 245 아취빌딩,37.579000010959,126.93575016104
CU 마곡아르디에점,"서울 강서구 강서로 423 아르디에오피스텔 1층 110,111호",37.5635059695343,126.839361465026
CU 대치점,서울 강남구 테헤란로98길 15,37.5073874091176,127.062742080437
CU 신당6동점,서울 중구 다산로40길 14 1층,37.5638151686791,127.016737834825
CU 마곡엠팰리체점,서울 강서구 마곡동로4길 15,37.5598184721733,126.83524805093
CU 서울대파인점,서울 관악구 청룡1길 46,37.4809234987217,126.948878627216
CU 송파성지점,서울 송파구 송이로12길 14,37.5003472557903,127.116590942604
CU 오목교역점,서울 양천구 오목로 325 대학학원 1층,37.5251074073334,126.873626981623
CU 오장중부점,서울 중구 마른내로 122-1,37.5644196514857,127.00159604891
CU 등촌5단지점,서울 강서구 강서로62길 98,37.5616988297823,126.845014067467
CU 구로천일점,서울 구로구 디지털로32길 79 조영빌딩 103호,37.4835332463617,126.899752015371
CU 길음타운점,서울 성북구 길음로 33,37.6050492482263,127.022009385841
CU 잠실갤러리아점,서울 송파구 올림픽로 212 갤러리아팰리스 1-109,37.5107067799275,127.094231575378
CU 소피텔점,서울 중구 동호로27길 25,37.560563384812,127.001693981477
CU 홍은벽산점,서울 서대문구 세검정로1길 96,37.5944872333756,126.946131133154
CU 북한산구기점,서울 종로구 비봉길 7,37.6090362049606,126.956270283379
CU 논현선정릉점,서울 강남구 봉은사로49길 7,37.5104073227934,127.041970782283
