,metro_station_name,metro_station_addr,metro_geo_lat,metro_geo_lng
50,마곡나루역 9호선,서울 강서구 마곡중앙5로 지하 2,37.5667930302835,126.827518199814
51,군자역 5호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019
52,마곡역 5호선,서울 강서구 공항대로 지하 163,37.5601984535897,126.825547992125
53,거여역 5호선,서울 송파구 오금로 지하 499,37.4932073280335,127.144032331306
54,독산역 1호선,서울 금천구 벚꽃로 115,37.4659873169402,126.889514168718
55,서대문역 5호선,서울 종로구 통일로 지하 126,37.565856271913,126.966637398787
56,잠실새내역 2호선,서울 송파구 올림픽로 지하 140,37.5115672093323,127.086373867207
57,오목교역 5호선,서울 양천구 오목로 지하 342,37.5244500703802,126.875354626254
58,서초역 2호선,서울 서초구 서초대로 지하 233,37.4918229990093,127.007580814715
59,시청역 1호선,서울 중구 세종대로 지하 101,37.5654385176408,126.976983237511
60,학동역 7호선,서울 강남구 학동로 지하 180,37.5142064294604,127.031463762217
61,동대문역사문화공원역 2호선,서울 중구 을지로 지하 279,37.5655895229776,127.009131498424
62,논현역 7호선,서울 강남구 학동로 지하 102,37.5111988300765,127.021657861669
63,종로5가역 1호선,서울 종로구 종로 지하 216,37.5709075371016,127.001916647342
64,낙성대역 2호선,서울 관악구 남부순환로 지하 1928,37.4770651843603,126.963409959152
