,지점명,지점주소
202,CU 여의도KCC점,서울 영등포구 국회대로72길 17
203,CU 종로3가역점,서울 종로구 돈화문로 27
204,CU 압구정거리점,서울 강남구 도산대로49길 36
205,CU 남대문점,서울 중구 남대문로 17
206,CU 양평이레빌딩점,서울 영등포구 선유동2로 57
207,CU 청담엘점,서울 강남구 도산대로85길 45
208,CU 중계주공5단지점,서울 노원구 중계로 230 중계5단지주공아파트
209,CU 신사세화점,서울 강남구 언주로168길 15
210,CU 서교중앙점,서울 마포구 잔다리로 96
211,CU 마곡사이언스점,서울 강서구 마곡동로 62
212,CU 용산신창점,서울 용산구 원효로35길 50
213,CU 방배리치빌점,서울 서초구 도구로1길 60
214,CU 상도래미안점,서울 동작구 상도로53길 47
215,CU 숙대입구점,서울 용산구 한강대로 306 1층
216,CU 호텔피제이점,서울 중구 마른내로 71 1층
217,CU 당산한강점,서울 영등포구 영신로57길 1
218,CU 서초대림점,서울 서초구 서초중앙로22길 24
219,CU 증산초교점,서울 은평구 증산서길 64
220,CU 관악보라매점,서울 관악구 봉천로 307
221,CU 양평경남점,서울 영등포구 선유로33길 22 양평경남아파트 101동
222,CU M잠실역점,서울 송파구 올림픽로 지하 265 서울메트로 2호선 잠실역 1층 216동 02호
223,CU 마포용강점,서울 마포구 토정로 279-1
224,CU 신림고시촌점,서울 관악구 신림로 105
225,CU 면목금호점,서울 중랑구 용마산로 334 1층
226,CU 석촌퍼스트점,서울 송파구 백제고분로40길 30
227,CU 이태원대림점,서울 용산구 회나무로13길 9 대림 102
228,CU 서초다우점,서울 서초구 서초대로77길 58
229,CU 창동미소점,서울 도봉구 노해로63가길 14
230,CU 장안사거리점,서울 동대문구 답십리로 263
231,CU 성산1동점,서울 마포구 성산로6길 21
232,CU 연희영웅점,서울 서대문구 연희맛로 38
233,CU 헬리오시티1호점,서울 송파구 송파대로 345 헬리오시티 1-2근린생활시설
234,CU 청량리역점,서울 동대문구 왕산로 220
235,CU 경기대사거리점,서울 서대문구 경기대로 62
236,CU 역삼황제펭귄점,서울 강남구 논현로106길 31 현빌딩 103호
237,CU 석촌백제점,서울 송파구 백제고분로39길 1
238,CU 화곡정원점,서울 강서구 공항대로46길 57
239,CU 신사프리미어점,서울 강남구 논현로157길 41
240,CU 마포경성점,서울 마포구 성미산로 103
241,CU 도봉팡팡점,서울 도봉구 도봉로156길 18
242,CU 서초남양점,서울 서초구 반포대로28길 63
243,CU 서초교대점,서울 서초구 사임당로 64
244,CU 당산뉴보문점,서울 영등포구 당산로38길 12 1층
245,CU 광진웰츠점,서울 광진구 자양로 116
246,CU 방이오피스점,서울 송파구 양재대로71길 14
247,CU 마포망원점,서울 마포구 월드컵로31길 11 1층
248,CU 강남소망점,서울 강남구 언주로159길 10
249,CU 창동프라자점,"서울 도봉구 마들로11가길 16 KING프라자 105,106"
250,CU 보라매산들점,서울 관악구 봉천로 188
251,CU 신대방리안점,서울 동작구 상도로 59
252,CU 중구명동점,서울 중구 퇴계로 105
253,CU 수유행복점,서울 강북구 4.19로1길 16
254,CU 롯데캐슬4차점,서울 금천구 시흥대로 315 1층 122호
255,CU 율현중앙점,서울 강남구 밤고개로 252
256,CU 수서나산점,서울 강남구 광평로56길 10 1층
257,CU 신용산래미안점,서울 용산구 한강대로 95
258,CU 송파석촌점,서울 송파구 송파대로44길 3
259,CU 선정릉역점,서울 강남구 봉은사로 409
260,CU 방배드림점,서울 서초구 도구로 123-2
261,CU 광진중앙점,서울 광진구 동일로62길 13 1층
262,CU 방이드림점,서울 송파구 오금로11길 11-8 현대드림밸리 1층 104호
263,CU 용산효창공원점,서울 용산구 효창원로66길 17 약산빌딩
264,CU 강동구청점,서울 강동구 성내로 28 강동빌딩 107
265,CU 청담1동점,서울 강남구 학동로97길 74
