,지점명,지점주소
166,스타벅스 둔촌동점,서울 강동구 양재대로 1303 평원빌딩 1층
167,스타벅스 상일동점,"서울 강동구 상일로10길 36 1, 2층"
168,스타벅스 등촌역점,"서울 양천구 공항대로 566 1,2층"
169,스타벅스 서래마을입구점,서울 서초구 서래로 48
170,스타벅스 종로3가점,서울 종로구 종로 113-1 1~4층
171,스타벅스 목동8단지점,서울 양천구 목동서로 299
172,스타벅스 강남2점,"서울 서초구 서초대로77길 27 1, 2층"
173,스타벅스 강남비젼타워점,서울 강남구 테헤란로2길 27 비젼타워 1층
174,스타벅스 경희대삼거리점,서울 동대문구 회기로 141
175,스타벅스 오류동역점,서울 구로구 경인로 216
176,스타벅스 신논현역점,서울 서초구 강남대로 483
177,스타벅스 학동사거리,서울 강남구 도산대로 328
178,스타벅스 방이역점,"서울 송파구 마천로 53 1, 2층"
179,스타벅스 이수역사거리점,서울 서초구 서초대로 3-4
180,스타벅스 약수역점,서울 중구 다산로 129
181,스타벅스 숙대입구역점,서울 용산구 한강대로 291 지하 1~3층
182,스타벅스 청담공원점,서울 강남구 학동로 506 보라티알 빌딩 1층
183,스타벅스 공덕점,서울 마포구 마포대로 130
184,스타벅스 합정폴리스R점,서울 마포구 양화로 45
185,스타벅스 고대점,서울 성북구 고려대로24길 51 1층 & 2층
186,스타벅스 노량진동점,서울 동작구 노량진로 190 고려교육타워 어바니엘한강 101~105호
187,스타벅스 건국대,"서울 광진구 능동로 117 1,2층"
188,스타벅스 홍대삼거리점,서울 마포구 와우산로 64
189,스타벅스 구파발역점,서울 은평구 진관2로 12 메이플카운티 2차 113~116호
190,스타벅스 강남대로점,서울 강남구 강남대로 456 1-2호 한석타워
191,스타벅스 가락본동점,서울 송파구 송파대로30길 13
192,스타벅스 연신내점,서울 은평구 통일로 869
193,스타벅스 영등포KT점,서울 영등포구 영중로 119
194,스타벅스 역삼역점,서울 강남구 테헤란로 145 우신빌딩 1층
195,스타벅스 천호역점,서울 강동구 천호대로 1012 태승빌딩 1층
196,스타벅스 목동역점,서울 양천구 목동로 203
197,스타벅스 길동역점,서울 강동구 양재대로 1487
198,스타벅스 가산디지털단지역점,서울 금천구 벚꽃로 298
199,스타벅스 마로니에공원점,서울 종로구 대학로 116 1-2층
200,스타벅스 등촌점,서울 강서구 공항대로 329 1층
201,스타벅스 방배,서울 서초구 방배로 211
202,스타벅스 학동역점,서울 강남구 논현로 704
203,스타벅스 압구정R점,서울 강남구 언주로 861
204,스타벅스 송파마천사거리DT점,서울 송파구 거마로 78
205,스타벅스 독산사거리점,서울 금천구 시흥대로 426
206,스타벅스 송파헬리오시티점,서울 송파구 송파대로 345 103동
207,스타벅스 서강광흥창역점,서울 마포구 서강로 69
208,스타벅스 엔터식스점,서울 성동구 왕십리광장로 17 왕십리역사 엔터식스몰 B1
209,스타벅스 금천시흥점,서울 금천구 시흥대로 164
