,지점명,지점주소
200,GS25 여의타워점,서울 영등포구 63로 36 리버타워빌딩 102호
201,GS25 종로누하점,서울 종로구 필운대로 39
202,GS25 은평행운점,서울 은평구 갈현로1길 8
203,GS25 양평선유로점,서울 영등포구 선유로 250 그랑드빌 102
204,GS25 논현이편한점,서울 강남구 봉은사로11길 12
205,GS25 잠원브라운점,서울 서초구 잠원로 46-6
206,GS25 천호금환점,서울 강동구 진황도로 59 금호타워 1층
207,GS25 연남호호점,서울 마포구 연희로1길 45
208,GS25 면목샘터점,서울 중랑구 면목로21길 9
209,GS25 현석리버뷰점,서울 마포구 신수로 5
210,GS25 강동천일점,서울 강동구 올림픽로88길 36
211,GS25 문래역점,서울 영등포구 당산로4길 12 104호
212,GS25 마포당인점,서울 마포구 토정로 13-1
213,GS25 명동성당점,서울 중구 명동길 79
214,GS25 대치스카이점,서울 강남구 역삼로 558 1층
215,GS25 논현드림점,서울 강남구 봉은사로1길 9
216,GS25 성북동진점,서울 성북구 종암로 54 1층 107호
217,GS25 역삼혜성점,서울 강남구 테헤란로34길 17 혜성빌딩 1층
218,GS25 역삼쏘도베점,서울 강남구 강남대로94길 95
219,GS25 서초금호점,서울 서초구 서초대로 331
220,GS25 증산중앙점,서울 은평구 증산서길 107 안당빌딩 1층 101호
221,GS25 가락타운점,서울 송파구 양재대로62길 47
222,GS25 서초예전점,서울 서초구 반포대로8길 5-10
223,GS25 노원역점,서울 노원구 상계로 74 1층
224,GS25 강동원일점,서울 강동구 올림픽로92길 6
225,GS25 강남로데오점,서울 강남구 압구정로54길 16
226,GS25 성북시네마점,서울 성북구 아리랑로 4
227,GS25 청담미래점,서울 강남구 도산대로61길 10
228,GS25 군자본점,서울 광진구 동일로34길 17
229,GS25 노량아카데미점,서울 동작구 노량진로14가길 11 지하1층
230,GS25 신림수성점,서울 관악구 남부순환로 1507
231,GS25 관악점,서울 관악구 남부순환로 1599
232,GS25 마로니에점,서울 종로구 대학로8가길 111
233,GS25 신내역점,서울 중랑구 신내로16길 76 신내프라자 102호
234,GS25 역삼상록점,서울 강남구 테헤란로43길 12
235,GS25 강동베르네점,서울 강동구 성내로6길 20 108호
236,GS25 을지트윈점,서울 중구 을지로 170
237,GS25 서초4점,서울 서초구 서초중앙로 63-8
238,GS25 양재한양점,서울 서초구 강남대로8길 40-13 103호
239,GS25 그랑서울본점,서울 종로구 종로 33 1층
240,GS25 방학점,서울 도봉구 시루봉로 219
241,GS25 미아벽산점,서울 강북구 솔샘로 167 벽산라이브파크아파트상가 지하 2층 215~218호
242,GS25 방배E푸른점,서울 서초구 서초대로27길 57 1층 102호
243,GS25 트윈타워점,서울 영등포구 여의대로 128 지하 1층
244,GS25 숙대점,서울 용산구 청파로47길 57
245,GS25 뚝섬본점,서울 성동구 아차산로 38
246,GS25 이화지웰점,서울 서대문구 이화여대5길 35
247,GS25 동작신라점,서울 동작구 시흥대로 602
248,GS25 수성동계곡점,서울 종로구 옥인6길 5
249,GS25 영등포영달점,서울 영등포구 영신로24길 18-1
250,GS25 화곡으뜸점,서울 강서구 우장산로 125 1층
251,GS25 사보이호텔점,서울 중구 명동8나길 10 사보이호텔 1층 본관 A-104
252,GS25 성북한성점,서울 성북구 성북로 16
253,GS25 을지스타파크점,서울 중구 을지로 230 1층
254,GS25 목3동점,서울 양천구 목동중앙북로8라길 14
255,GS25 구로제일점,서울 구로구 구일로4길 33 상가동 103호
256,GS25 대치타워점,서울 강남구 선릉로90길 36
257,GS25 대치학여울점,서울 강남구 영동대로 213 101호
258,GS25 종로도렴점,서울 종로구 새문안로5길 31 103호
259,GS25 강남리츠칼튼점,서울 강남구 강남대로110길 26
260,GS25 역삼태극점,서울 강남구 테헤란로4길 46 B110호
261,GS25 종로관철점,서울 종로구 삼일대로17길 8 1층
262,GS25 쌍문보람점,서울 도봉구 도봉로125길 84
263,GS25 청담삼익점,"서울 강남구 학동로101길 7 1층 103,104호"
264,GS25 방배서래점,서울 서초구 동광로 88 부운빌딩 1층 101호
265,GS25 마포한림점,서울 마포구 포은로 67
266,GS25 서초스타힐스점,서울 서초구 양재대로2길 90
267,GS25 명동진고개점,서울 중구 명동8가길 37
268,GS25 도곡양재점,서울 강남구 남부순환로351길 14
269,GS25 가양향교점,서울 강서구 양천로49길 54
270,GS25 이문삼거리점,서울 동대문구 이문로 178
271,GS25 동대문용두점,서울 동대문구 천호대로31길 50
272,GS25 덕수점,서울 중구 세종대로 89
273,GS25 잠실월드점,서울 송파구 올림픽로35가길 9
274,GS25 관악예은점,서울 관악구 남부순환로224길 21
275,GS25 수유역점,서울 강북구 도봉로 350
276,GS25 논현파라곤점,서울 강남구 언주로130길 18
277,GS25 마포연남점,서울 마포구 성미산로29안길 25
278,GS25 서교사랑점,서울 마포구 와우산로25길 13
279,GS25 안녕인사동점,서울 종로구 인사동길 49
280,GS25 중계무지개점,서울 노원구 동일로 1280
281,GS25 마곡퍼스트점,서울 강서구 마곡중앙로 76
282,GS25 여의도역점,서울 영등포구 여의나루로 42 102호
283,GS25 고덕시티점,서울 강동구 동남로75길 27 갑을명가오피스텔
284,GS25 신림석류점,서울 관악구 신사로22길 48
285,GS25 신사센터점,서울 강남구 압구정로2길 58
286,GS25 암사시장점,서울 강동구 올림픽로98길 50
287,GS25 화곡행운점,서울 강서구 강서로 47-6
288,GS25 가락본점,서울 송파구 오금로36길 69-14
289,GS25 강동성심점,서울 강동구 성안로 156 1층 3호
290,GS25 상계역점,서울 노원구 한글비석로24길 63
291,GS25 동대문한신점,서울 동대문구 황물로 42
292,GS25 광희제일점,서울 중구 퇴계로 340
293,GS25 현석신수로점,서울 마포구 신수로 32 1층
294,GS25 관악고시촌점,서울 관악구 호암로24길 74
295,GS25 창동본점,서울 도봉구 노해로69길 21-15
296,GS25 남강학사점,서울 관악구 난곡로 181 1층
297,GS25 신촌파크점,서울 서대문구 연세로2길 30
298,GS25 방화한숲점,서울 강서구 방화대로50길 17
299,GS25 서부이촌점,서울 용산구 이촌로 46
300,GS25 상암제일점,서울 마포구 성암로13길 43
301,GS25 역삼2점,서울 강남구 역삼로14길 7
302,GS25 은평문화점,서울 은평구 은평로21길 63
303,GS25 혜화경찰서점,서울 종로구 창경궁로 112-11
304,GS25 연남SCG점,서울 마포구 월드컵북로6길 3 1층
305,GS25 가락우정점,서울 송파구 중대로23길 20
306,GS25 난곡로점,"서울 관악구 난곡로 288 남진빌딩 1,2층"
307,GS25 불광역점,서울 은평구 통일로 750 경일빌딩 1층
308,GS25 연신내점,서울 은평구 통일로80길 1
309,GS25 망원오리엔탈점,서울 마포구 방울내로9안길 71 101호~103호
310,GS25 장위기쁨점,서울 성북구 장위로15길 34-2 1층
311,GS25 방이중앙점,서울 송파구 오금로11길 6
312,GS25 관악장원점,서울 관악구 대학길 84 1층
313,GS25 삼양사거리역점,서울 강북구 삼양로 201
314,GS25 용산삼각지점,서울 용산구 한강대로62나길 2
315,GS25 서울대역점,서울 관악구 관악로 144
316,GS25 역삼테헤란점,서울 강남구 테헤란로33길 7 대영빌딩 1층 A호
317,GS25 봉천한아름점,서울 관악구 봉천로31길 9
318,GS25 노원웰빙점,서울 노원구 상계로1길 14-11 하이웰빙상가 1층 A-101호
319,GS25 S9삼전역점,서울 송파구 백제고분로 187
320,GS25 서초법원점,서울 서초구 법원로1길 5 우암빌딩1층
321,GS25 중구무교점,서울 중구 남대문로9길 40
